object_id,name,description
FW01,DISARM Red,"Incident creation framework. All the things that an incident creator will need to do to create, run, and assess the effectiveness of a disinformation incident."
FW02,DISARM Blue,"Incident counters framework. All the things that a response team, people outside the team, and organisations outside the team, will need to do to mitigate the effects of an incident, slow down an incident, stop an incident etc."
FW03,DISARM Green,"Counter counters framework. All the things that an incident creation team might do to reduce the effectiveness of mitigations, counters, and responders to an incident. This framework doesn't officially exist yet: this id is for future work."
